step,step_time_s,total_time_s,ALLKE,ALLIE,ALLAE,ALLVD,ALLKE_over_abs_ALLIE
Insertion,0.09500046819448471,0.09500046819448471,1.242644248122815e-05,0.002393181435763836,0.0016754944808781147,5.368408892536536e-05,0.0051924364344160066
Insertion,0.09583358466625214,0.09583358466625214,4.3950381041213404e-06,0.0024055191315710545,0.0016753497766330838,5.3718518756795675e-05,0.0018270642899651033
Insertion,0.09666690230369568,0.09666690230369568,6.433886028389679e-06,0.0024005952291190624,0.0016788672655820847,5.3908268455415964e-05,0.002680121142601245
Insertion,0.09750046581029892,0.09750046581029892,1.8090420326188905e-06,0.002405891427770257,0.0016824767226353288,5.391509330365807e-05,0.0007519217250362302
Insertion,0.09833332896232605,0.09833332896232605,6.893096269777743e-06,0.0024025291204452515,0.0016817169962450862,5.3922325605526567e-05,0.0028690999876414703
Insertion,0.09916673600673676,0.09916673600673676,4.979483946954133e-06,0.002405919134616852,0.0016789209330454469,5.3928608394926414e-05,0.0020696805122451165
Insertion,0.10000000149011612,0.10000000149011612,4.2977808334399015e-06,0.002406494226306677,0.0016796423587948084,5.3933887102175504e-05,0.0017859094721518788
Holding,0.0,0.10000000149011612,4.295081453165039e-06,0.002406494226306677,0.0016796423587948084,5.3933887102175504e-05,0.0017847877656273613
Holding,0.001500831451267004,0.10150083294138312,3.27994871440751e-06,0.0024035137612372637,0.001681171590462327,5.4026153520680964e-05,0.001364647362251457
Holding,0.0030008251778781414,0.10300082666799426,4.900145995634375e-06,0.0024014688096940517,0.0016828326042741537,5.403464092523791e-05,0.00204047871696433
Holding,0.004500582814216614,0.10450058430433273,2.4436340027023107e-06,0.0024036571849137545,0.0016839286545291543,5.404099283623509e-05,0.0010166316636330112
Holding,0.006000086199492216,0.10600008768960834,6.963518899283372e-07,0.002404332859441638,0.0016864780336618423,5.404641342465766e-05,0.0002896237462270728
Holding,0.007500080857425928,0.10750008234754205,2.121377292496618e-06,0.002404173370450735,0.0016845467034727335,5.405133924796246e-05,0.0008823728432275671
Holding,0.009000851772725582,0.1090008532628417,2.424366357445251e-06,0.002403712598606944,0.0016850070096552372,5.405570482253097e-05,0.0010085924410639928
Holding,0.010500328615307808,0.11050033010542393,2.19712387661275e-06,0.0024041510187089443,0.001684940536506474,5.4060416005086154e-05,0.0009138876299845047
Holding,0.012000144459307194,0.11200014594942331,1.7199984085891629e-06,0.0024048038758337498,0.001685139024630189,5.406355194281787e-05,0.0007152343797653089
Holding,0.013500464148819447,0.11350046563893557,4.129841499889153e-07,0.0024050739593803883,0.0016874463763087988,5.406699710874818e-05,0.00017171370068607417
Holding,0.015000231564044952,0.11500023305416107,6.182663128129207e-07,0.0024056322872638702,0.001686419709585607,5.40698274562601e-05,0.00025700782122280516
Holding,0.01650076173245907,0.11650076322257519,1.7932304672285682e-06,0.0024041051510721445,0.001687021111138165,5.407257776823826e-05,0.0007459035086002173
Holding,0.018000278621912003,0.11800028011202812,1.6169524315046147e-06,0.0024046115577220917,0.00168650655541569,5.407534263213165e-05,0.0006724381018264618
Holding,0.019500713795423508,0.11950071528553963,8.332266361321672e-07,0.002405797829851508,0.0016860237810760736,5.407752905739471e-05,0.0003463410872656727
Holding,0.021000774577260017,0.12100077606737614,3.8271110724963364e-07,0.0024054888635873795,0.0016876960871741176,5.407983553595841e-05,0.00015909909750273581
Holding,0.02250083163380623,0.12250083312392235,4.0421977587357105e-07,0.002406095154583454,0.001686877105385065,5.40816254215315e-05,0.00016799825023692798
Holding,0.024000095203518867,0.12400009669363499,9.95211166809895e-07,0.0024050078354775906,0.001687962911091745,5.4083608119981363e-05,0.00041380786878487003
Holding,0.025500081479549408,0.12550008296966553,1.2537439033621922e-06,0.0024050073698163033,0.001687479205429554,5.4085368901723996e-05,0.0005213056388504765
Holding,0.027000661939382553,0.12700066342949867,6.998392905188666e-07,0.0024059058632701635,0.0016869429964572191,5.408707511378452e-05,0.0002908839041472839
Holding,0.028500817716121674,0.1285008192062378,2.1048407461421448e-07,0.002405869774520397,0.0016879669856280088,5.4088584874989465e-05,8.748772557989921e-05
Holding,0.030000273138284683,0.1300002746284008,2.712153559514263e-07,0.0024063612800091505,0.0016871062107384205,5.408992001321167e-05,0.00011270766289523865
Holding,0.03150033950805664,0.13150034099817276,6.487027235380083e-07,0.002405507257208228,0.0016882234485819936,5.4091309721115977e-05,0.00026967398314602326
Holding,0.033000122755765915,0.13300012424588203,9.115387911151629e-07,0.0024054350797086954,0.0016879686154425144,5.409257937571965e-05,0.00037894965397509403
Holding,0.03450058028101921,0.13450058177113533,6.480844945144781e-07,0.002405937062576413,0.0016876462614163756,5.409384539234452e-05,0.00026936884783697237
Holding,0.036000046879053116,0.13600004836916924,1.4603276099478535e-07,0.0024060760624706745,0.0016883964417502284,5.409494769992307e-05,6.06933268954232e-05
Holding,0.037500228732824326,0.13750023022294044,1.153682376298093e-07,0.0024066087789833546,0.001687436131760478,5.409594814409502e-05,4.79380939009727e-05
Holding,0.039000265300273895,0.13900026679039001,4.965010020896443e-07,0.0024057715199887753,0.0016883669886738062,5.409693767433055e-05,0.00020637911703766485
Holding,0.04050036147236824,0.14050036296248436,6.78602475545631e-07,0.0024057533591985703,0.0016881439369171858,5.409787627286278e-05,0.00028207483238086145
Holding,0.04200068861246109,0.1420006901025772,4.714103454261931e-07,0.0024060544092208147,0.0016880183247849345,5.4098843975225464e-05,0.0001959267187057737
Holding,0.04350004345178604,0.14350004494190216,1.6195336627333745e-07,0.0024060874711722136,0.0016887221718207002,5.409963705460541e-05,6.730984148071555e-05
Holding,0.04500049352645874,0.14500049501657486,8.646778582033221e-08,0.002406655577942729,0.0016878261230885983,5.4100404668133706e-05,3.5928608402805646e-05
Holding,0.04650043323636055,0.14650043472647667,3.1956668067323335e-07,0.002406031358987093,0.0016886030789464712,5.410110316006467e-05,0.00013281900066662748
Holding,0.0480002798140049,0.14800028130412102,5.077448577139876e-07,0.002406020648777485,0.0016883219359442592,5.41018380317837e-05,0.00021103096433190468
Holding,0.04950027912855148,0.1495002806186676,3.7888321458012797e-07,0.002406153827905655,0.0016882590716704726,5.410252560977824e-05,0.00015746425277801646
Holding,0.05100030079483986,0.15100030228495598,1.2989228537207964e-07,0.0024061177391558886,0.0016888772370293736,5.410313679021783e-05,5.398417677501031e-05
Holding,0.05250051990151405,0.15250052139163017,6.636901161982678e-08,0.0024066001642495394,0.0016881304327398539,5.4103682487038895e-05,2.757791369158446e-05
Holding,0.054000552743673325,0.15400055423378944,2.1912106262789166e-07,0.002406107261776924,0.001688788179308176,5.410421726992354e-05,9.106870092984528e-05
Holding,0.05550083518028259,0.1555008366703987,3.7160810961722746e-07,0.00240617198869586,0.0016884959768503904,5.410475205280818e-05,0.0001544395460353764
Holding,0.0570000559091568,0.15700005739927292,3.0467174383375095e-07,0.0024062723387032747,0.0016884669894352555,5.410526864579879e-05,0.00012661565315501099
Holding,0.05850076675415039,0.1585007682442665,1.0044106346640547e-07,0.002406209707260132,0.0016890120459720492,5.410571611719206e-05,4.174243963996565e-05
Holding,0.06000092625617981,0.16000092774629593,3.7935350860607286e-08,0.002406604588031769,0.001688396092504263,5.410613812273368e-05,1.576301775923753e-05
Holding,0.061500146985054016,0.16150014847517014,1.7175226219023898e-07,0.0024061398580670357,0.0016889470862224698,5.410652011050843e-05,7.138083084173485e-05
Holding,0.06300030648708344,0.16300030797719955,2.833754990660964e-07,0.0024062050506472588,0.0016886800294741988,5.410692756413482e-05,0.0001177686411180417
Holding,0.06450046598911285,0.16450046747922897,2.208890066413005e-07,0.002406309824436903,0.0016886370722204447,5.410729499999434e-05,9.179574649868307e-05
Holding,0.06600062549114227,0.1660006269812584,7.792073120072018e-08,0.002406233223155141,0.0016890945844352245,5.410764424595982e-05,3.238286731763585e-05
Holding,0.06750078499317169,0.1675007864832878,3.172287676989072e-08,0.0024066090118139982,0.0016885993536561728,5.410793892224319e-05,1.3181566517105069e-05
Holding,0.0690000057220459,0.16900000721216202,1.2464170140447095e-07,0.0024062348529696465,0.0016890882980078459,5.410822996054776e-05,5.1799474706571066e-05
Holding,0.07050016522407532,0.17050016671419144,2.1753666601398436e-07,0.002406277460977435,0.0016888437094166875,5.410852099885233e-05,9.040381649322372e-05
Holding,0.07200032472610474,0.17200032621622086,1.710668016130512e-07,0.0024063445162028074,0.00168879353441298,5.410880839917809e-05,7.108990440113425e-05
Holding,0.07350048422813416,0.17350048571825027,5.439898131953669e-08,0.0024062441661953926,0.0016891558188945055,5.4109048505779356e-05,2.2607423670370517e-05
