step,step_time_s,total_time_s,rp_u3_mm,rp_rf3_N,insertion_depth_mm,pullout_displacement_mm,pullout_resistance_N,absolute_force_N
Insertion,0.03375067561864853,0.03375067561864853,-0.1290215700864792,-2.778976977424463e-07,0.1290215700864792,0.0,0.0,2.778976977424463e-07
Insertion,0.03437566012144089,0.03437566012144089,-0.1352800875902176,-2.809355805766245e-07,0.1352800875902176,0.0,0.0,2.809355805766245e-07
Insertion,0.035000644624233246,0.035000644624233246,-0.14197838306427002,-2.832755683357391e-07,0.14197838306427002,0.0,0.0,2.832755683357391e-07
Insertion,0.035625629127025604,0.035625629127025604,-0.14912012219429016,-2.8493462878032005e-07,0.14912012219429016,0.0,0.0,2.8493462878032005e-07
Insertion,0.03625061362981796,0.03625061362981796,-0.15670788288116455,-2.859298433577351e-07,0.15670788288116455,0.0,0.0,2.859298433577351e-07
Insertion,0.03687559813261032,0.03687559813261032,-0.16474315524101257,-2.862781798285141e-07,0.16474315524101257,0.0,0.0,2.862781798285141e-07
Insertion,0.03750058263540268,0.03750058263540268,-0.17322668433189392,-2.859967196400248e-07,0.17322668433189392,0.0,0.0,2.859967196400248e-07
Insertion,0.03812556713819504,0.03812556713819504,-0.18215787410736084,-2.8510243055279716e-07,0.18215787410736084,0.0,0.0,2.8510243055279716e-07
Insertion,0.038750551640987396,0.038750551640987396,-0.19153538346290588,-2.836123940141988e-07,0.19153538346290588,0.0,0.0,2.836123940141988e-07
Insertion,0.039375536143779755,0.039375536143779755,-0.20135681331157684,-2.815435777847597e-07,0.20135681331157684,0.0,0.0,2.815435777847597e-07
Insertion,0.04000052064657211,0.04000052064657211,-0.21161901950836182,-2.7891300646842865e-07,0.21161901950836182,0.0,0.0,2.7891300646842865e-07
Insertion,0.04062550514936447,0.04062550514936447,-0.2223178744316101,-2.7573776151257334e-07,0.2223178744316101,0.0,0.0,2.7573776151257334e-07
Insertion,0.04125048965215683,0.04125048965215683,-0.2334483116865158,-2.720347822560143e-07,0.2334483116865158,0.0,0.0,2.720347822560143e-07
Insertion,0.04187547415494919,0.04187547415494919,-0.24500463902950287,-2.678211501461192e-07,0.24500463902950287,0.0,0.0,2.678211501461192e-07
Insertion,0.04250045865774155,0.04250045865774155,-0.256980299949646,-2.631138897868368e-07,0.256980299949646,0.0,0.0,2.631138897868368e-07
Insertion,0.043125443160533905,0.043125443160533905,-0.2693677544593811,-2.5792996893869713e-07,0.2693677544593811,0.0,0.0,2.5792996893869713e-07
Insertion,0.04375042766332626,0.04375042766332626,-0.2821589708328247,-2.5228641220564896e-07,0.2821589708328247,0.0,0.0,2.5228641220564896e-07
Insertion,0.04437541216611862,0.04437541216611862,-0.29534515738487244,-2.4620038630018826e-07,0.29534515738487244,0.0,0.0,2.4620038630018826e-07
Insertion,0.04500039666891098,0.04500039666891098,-0.3089168071746826,-2.396886884525884e-07,0.3089168071746826,0.0,0.0,2.396886884525884e-07
Insertion,0.04562538117170334,0.04562538117170334,-0.3228636682033539,-2.3276849958620005e-07,0.3228636682033539,0.0,0.0,2.3276849958620005e-07
Insertion,0.0462503656744957,0.0462503656744957,-0.33717477321624756,-2.2545675903984375e-07,0.33717477321624756,0.0,0.0,2.2545675903984375e-07
Insertion,0.046875350177288055,0.046875350177288055,-0.3518389165401459,-2.1777057668259658e-07,0.3518389165401459,0.0,0.0,2.1777057668259658e-07
Insertion,0.047500334680080414,0.047500334680080414,-0.3668440878391266,-2.0972696290755266e-07,0.3668440878391266,0.0,0.0,2.0972696290755266e-07
Insertion,0.04812531918287277,0.04812531918287277,-0.3821774125099182,-2.013428712643872e-07,0.3821774125099182,0.0,0.0,2.013428712643872e-07
Insertion,0.04875030368566513,0.04875030368566513,-0.3978261351585388,-1.926352837244849e-07,0.3978261351585388,0.0,0.0,1.926352837244849e-07
Insertion,0.04937528818845749,0.04937528818845749,-0.4137762486934662,-1.8362138121119642e-07,0.4137762486934662,0.0,0.0,1.8362138121119642e-07
